ProblemType,Algorithm,Method,Accuracy
non-linear,notears-l2,LRmix,0.658
non-linear,notears-l2,BNB,0.658
non-linear,notears-l2,GNB,0.658
non-linear,notears-l2,MnNB,0.795
non-linear,notears-l2,CNB,0.582
non-linear,notears-l2,SVMsig,0.527
non-linear,notears-l2,SVMpoly,0.725
non-linear,notears-l2,SVMrbf,0.785
non-linear,notears-l2,KNCunif,0.47
non-linear,notears-l2,KNCdist,0.47
non-linear,notears-poisson,DTCgini,0.346
non-linear,notears-poisson,DTCent,0.346
non-linear,notears-poisson,RFCgini,0.346
non-linear,notears-poisson,RFCent,0.346
non-linear,notears-poisson,LRnone,0.285
non-linear,notears-poisson,LRl1,0.285
non-linear,notears-poisson,LRl2,0.285
non-linear,notears-poisson,LRmix,0.285
non-linear,notears-poisson,BNB,0.285
non-linear,notears-poisson,GNB,0.285
non-linear,notears-poisson,MnNB,0.03
non-linear,notears-poisson,CNB,0.463
non-linear,notears-poisson,SVMsig,0.402
non-linear,notears-poisson,SVMpoly,0.417
non-linear,notears-poisson,SVMrbf,0.346
non-linear,notears-poisson,KNCunif,0.286
non-linear,notears-poisson,KNCdist,0.286
non-linear,pgmpy-hc,DTCgini,0.707
non-linear,pgmpy-hc,DTCent,0.707
non-linear,pgmpy-hc,RFCgini,0.707
non-linear,pgmpy-hc,RFCent,0.707
non-linear,pgmpy-hc,LRnone,0.778
non-linear,pgmpy-hc,LRl1,0.778
non-linear,pgmpy-hc,LRl2,0.778
non-linear,pgmpy-hc,LRmix,0.778
non-linear,pgmpy-hc,BNB,0.778
non-linear,pgmpy-hc,GNB,0.778
non-linear,pgmpy-hc,MnNB,0.91
non-linear,pgmpy-hc,CNB,0.522
non-linear,pgmpy-hc,SVMsig,0.521
non-linear,pgmpy-hc,SVMpoly,0.647
non-linear,pgmpy-hc,SVMrbf,0.707
non-linear,pgmpy-hc,KNCunif,0.605
non-linear,pgmpy-hc,KNCdist,0.605
non-linear,pgmpy-tree,DTCgini,0.904
non-linear,pgmpy-tree,DTCent,0.904
non-linear,pgmpy-tree,RFCgini,0.904
non-linear,pgmpy-tree,RFCent,0.904
non-linear,pgmpy-tree,LRnone,0.97
non-linear,pgmpy-tree,LRl1,0.97
non-linear,pgmpy-tree,LRl2,0.97
non-linear,pgmpy-tree,LRmix,0.97
non-linear,pgmpy-tree,BNB,0.97
non-linear,pgmpy-tree,GNB,0.97
